Beer PLU,Beer Name,Date Purchased,Store Name,Abv,Style,Color,Format
60125,21ST AMEND BACK IN BLACK,7/12/2012 0:00,Crabapple,7.2,IPA,medium,draft
10811,21st Amend Back in Black,6/11/2013 0:00,Mall of Georgia,7.2,IPA,medium,bottle
61022,21ST AMEND BITTER AMERICN,4/19/2013 0:00,Mall of Georgia,4.4,ESB,medium,draft
20137,21st Amend Bittr American,6/11/2013 0:00,Mall of Georgia,4.4,Pale Ale,medium,bottle
10690,21st Amend Brew Free,5/24/2011 0:00,Crabapple,7,IPA,medium,bottle
60049,21ST AMEND BREW FREE IPA,7/23/2013 0:00,Mall of Georgia,7,IPA,medium,draft
20247,21st Amend Hop Crisis,7/13/2013 0:00,Mall of Georgia,9.7,Double IPA,medium,bottle
11188,ABITA AMBER,12/23/2007 0:00,Crabapple,5,Amber/Red Ale,medium,draft
9001,Abita Amber,7/13/2013 0:00,Mall of Georgia,5,Amber/Red Ale,medium,bottle
11501,ABITA ANDY GATOR,12/17/2007 0:00,Crabapple,8.6,Strong Ale,medium,draft
10204,Abita Jockamo,4/19/2013 0:00,Mall of Georgia,6.5,IPA,medium,bottle
11571,ABITA JOCKAMO IPA,7/18/2009 0:00,Crabapple,6.5,IPA,medium,draft
11001,ABITA PURPLE HAZE,12/16/2007 0:00,Crabapple,4.75,Fruit/Herbed/Spice Beer,medium,draft
60272,ABITA RYE PALE ALE,12/27/2010 0:00,Crabapple,8,Pale Ale,medium,draft
60558,ABITA TRIPLE HAZE,6/10/2011 0:00,Crabapple,8,Flavored Wheat,light,draft
63227,ABITA WROUGHT IRON,3/28/2015 0:00,Windward,6.9,IPA,medium,draft
70380,ACE GUAVA,7/8/2022 13:43,Crabapple,5,Cider,light,draft
11560,ALLAGASH BLACK,11/30/2013 0:00,Mall of Georgia,7.5,Belgian Dark Ale,dark,draft
61271,ALLAGASH BLONDE,11/13/2013 0:00,Windward,8.2,Blonde Ale,light,draft
11541,ALLAGASH WHITE,7/25/2008 0:00,Crabapple,5,Witbier/White Beer,light,draft
11006,AMSTEL LIGHT,5/6/2013 0:00,Mall of Georgia,3.5,Lager,light,draft
11546,ANCHOR CHRISTMAS,12/20/2010 0:00,Crabapple,5.5,Winter Warmer,medium,draft
9007,Anchor Liberty,5/31/2011 0:00,Crabapple,6,Pale Ale,medium,bottle
61372,ANCHOR SMALL BEER,6/2/2013 0:00,Crabapple,3.3,ESB,medium,draft
11009,ANCHOR STEAM,12/5/2008 0:00,Crabapple,4.9,Amber Lagers,medium,draft
20231,Anderson Valley Amber Can,8/22/2013 0:00,Crabapple,5.8,Amber/Red Ale,medium,can
60156,ANDERSON VALLEY BNT AMB,4/13/2013 0:00,Woodstock,5.8,Amber/Red Ale,medium,draft
61272,ANDERSON VALLEY HOP OTT,4/4/2013 0:00,Crabapple,7,IPA,medium,draft
20469,Anderson Valley HopOt Can,7/21/2013 0:00,Crabapple,7,IPA,medium,can
61521,ASS KISSER VANILLA PALE,5/28/2013 0:00,Mall of Georgia,5.5,Pale Ale,medium,draft
60908,ATLBC HOPLANTA,2/21/2012 0:00,Crabapple,7,IPA,medium,draft
20442,AtlBC Hoplanta,8/22/2013 0:00,Crabapple,7,IPA,medium,bottle
10012,Avery 14er ESB,7/3/2008 0:00,Crabapple,5,ESB,medium,bottle
60003,AVERY ELLIE'S BROWN ALE,7/16/2013 0:00,Mall of Georgia,5.5,Brown Ale,dark,draft
20082,Avery Ellie's Brown CAN,1/14/2014 0:00,Crabapple,5.5,Brown Ale,dark,can
11397,AVERY IPA,7/12/2012 0:00,Crabapple,6,IPA,medium,draft
20083,Avery IPA CAN,7/11/2013 0:00,Mall of Georgia,6,IPA,medium,can
11631,AVERY KARMA,7/18/2013 0:00,Crabapple,5.2,Belgian Pale,medium,draft
20018,Avery Karma,9/16/2013 0:00,Mall of Georgia,5.2,Belgian Pale,medium,bottle
11651,AVERY WHITE RASCAL,7/26/2008 0:00,Crabapple,5.5,Witbier/White Beer,light,draft
61871,BACK FORTY FRECKLE BELL,3/28/2014 0:00,Mall of Georgia,7.5,IPA,medium,draft
61026,BALLAST POINT BIGEYEIPA,1/16/2014 0:00,Crabapple,6.8,IPA,medium,draft
10065,Baltika 4,8/12/2009 0:00,Crabapple,5.6,Dark Lager,dark,bottle
